employee_id,role_id,salary,pay_type,account,account_company,payment_date
1,3,6800,bank,998877665,Chase_Bank,2026-05-31 18:00:00
2,1,4600,bank,112233445,Bank_of_America,2026-05-31 18:00:00
3,1,4400,m_bk,robert.pay,PayPal,2026-05-31 18:05:00
4,2,3900,bank,223344556,Wells_Fargo,2026-05-31 18:00:00
5,2,3800,m_bk,sarah.venmo,Venmo,2026-05-31 18:05:00
6,4,3300,m_bk,michael.cash,CashApp,2026-05-31 18:10:00
7,4,3000,bank,556677889,Citibank,2026-05-31 18:00:00
8,4,3000,m_bk,jessica.venmo,Venmo,2026-05-31 18:10:00
9,4,3000,bank,889900112,Capital_One,2026-05-31 18:00:00
10,4,3200,m_bk,daniel.pay,PayPal,2026-05-31 18:15:00
11,1,4500,bank,334455667,Chase_Bank,2026-05-31 18:00:00
12,2,3700,m_bk,brian.cash,CashApp,2026-05-31 18:15:00
1,3,6800,bank,998877665,Chase_Bank,2026-06-30 17:30:00
2,1,4600,bank,112233445,Bank_of_America,2026-06-30 17:00:00
3,1,4500,m_bk,robert.pay,PayPal,2026-06-30 17:45:00
4,2,3900,bank,223344556,Wells_Fargo,2026-06-30 17:00:00
5,2,3800,m_bk,sarah.venmo,Venmo,2026-06-30 17:35:00
6,4,3300,m_bk,michael.cash,CashApp,2026-06-30 17:50:00
7,4,3200,bank,556677889,Citibank,2026-06-30 17:00:00
8,4,3200,m_bk,jessica.venmo,Venmo,2026-06-30 17:55:00
9,4,3200,bank,889900112,Capital_One,2026-06-30 17:00:00
11,1,4700,bank,334455667,Chase_Bank,2026-06-30 17:00:00
12,2,3800,m_bk,brian.cash,CashApp,2026-06-30 17:40:00
1,3,6800,bank,998877665,Chase_Bank,2026-04-30 18:00:00
2,1,4500,bank,112233445,Bank_of_America,2026-04-30 18:00:00
3,1,4400,m_bk,robert.pay,PayPal,2026-04-30 18:00:00
4,2,3800,bank,223344556,Wells_Fargo,2026-04-30 18:00:00
5,2,3800,m_bk,sarah.venmo,Venmo,2026-04-30 18:00:00
6,4,3200,m_bk,michael.cash,CashApp,2026-04-30 18:00:00
7,4,3000,bank,556677889,Citibank,2026-04-30 18:00:00
8,4,3000,m_bk,jessica.venmo,Venmo,2026-04-30 18:00:00
9,4,3000,bank,889900112,Capital_One,2026-04-30 18:00:00
10,4,3200,m_bk,daniel.pay,PayPal,2026-04-30 18:00:00
11,1,4500,bank,334455667,Chase_Bank,2026-04-30 18:00:00
12,2,3700,m_bk,brian.cash,CashApp,2026-04-30 18:00:00
1,3,6800,bank,998877665,Chase_Bank,2026-03-31 18:00:00
2,1,4500,bank,112233445,Bank_of_America,2026-03-31 18:00:00
3,1,4400,m_bk,robert.pay,PayPal,2026-03-31 18:00:00
4,2,3800,bank,223344556,Wells_Fargo,2026-04-30 18:00:00
5,2,3800,m_bk,sarah.venmo,Venmo,2026-03-31 18:00:00
6,4,3200,m_bk,michael.cash,CashApp,2026-03-31 18:00:00
7,4,3000,bank,556677889,Citibank,2026-03-31 18:00:00
8,4,3000,m_bk,jessica.venmo,Venmo,2026-03-31 18:00:00
9,4,3000,bank,889900112,Capital_One,2026-03-31 18:00:00
10,4,3200,m_bk,daniel.pay,PayPal,2026-03-31 18:00:00
11,1,4500,bank,334455667,Chase_Bank,2026-03-31 18:00:00
12,2,3700,m_bk,brian.cash,CashApp,2026-03-31 18:00:00
